date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:45	128/128	---MCZ	200	added ('OK')	text/plain	etag:W/%2281893c8553ba15b18faaa04283628249%22	https://lapajaritashop.bigcartel.com/robots.txt		(from )
13:13:45	24933/24933	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:45%20GMT	https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/indexc96a.html	(from )
13:13:45	58823/58823	---MCZ	200	added ('OK')	text/css	etag:W/%228daa414a4105fba55c2cd247a2108902%22	https://lapajaritashop.bigcartel.com/theme_stylesheets/204931795/1675886323/theme.css	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/theme_stylesheets/204931795/1675886323/theme.css	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:46	24891/24891	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:46%20GMT	https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzg...	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/index1c1f.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:46	47131/47131	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jul%202022%2011:20:59%20GMT	https://assets.bigcartel.com/account_images/5301048/filename.jpg?auto=format&fit=max&h=1200&w=1200	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/assets.bigcartel.com/account_images/5301048/filenameb3b4.jpg	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:46	2563/2563	---MCZ	200	added ('OK')	application/xml	etag:W/%227a370c62acfb8fe6f50d7562c26facef%22	https://lapajaritashop.bigcartel.com/products.xml	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/products.xml	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:46	3097/3097	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jul%202022%2011:20:59%20GMT	https://assets.bigcartel.com/account_images/5301048/filename.jpg?auto=format&fit=max&h=180&w=180	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/assets.bigcartel.com/account_images/5301048/filename4814.jpg	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:46	1879/1879	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202024%2015:39:21%20GMT	https://lapajaritashop.bigcartel.com/stats.min.js	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/stats.min.js	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:47	22603/22603	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:47%20GMT	https://lapajaritashop.bigcartel.com/products	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/products.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:47	18036/18036	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:47%20GMT	https://lapajaritashop.bigcartel.com/category/summer-season-22	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/category/summer-season-22.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:48	20342/20342	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:48%20GMT	https://lapajaritashop.bigcartel.com/category/winter-season-23	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/category/winter-season-23.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:48	22753/22753	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:48%20GMT	https://lapajaritashop.bigcartel.com/politica-de-privacidad	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/politica-de-privacidad.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:48	16586/16586	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:48%20GMT	https://lapajaritashop.bigcartel.com/contact	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/contact.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:49	5404/5404	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jul%202022%2010:54:41%20GMT	https://assets.bigcartel.com/theme_images/84158781/La+pajarita-neutral+black.png?auto=format&fit=max&h=200&w=600	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/assets.bigcartel.com/theme_images/84158781/La+pajarita-neutral+blackbd18.png	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:49	24665/24665	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:49%20GMT	https://lapajaritashop.bigcartel.com/	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/index.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:49	15016/15016	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:49%20GMT	https://lapajaritashop.bigcartel.com/cart	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/cart.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:50	145229/145229	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Feb%202023%2019:58:24%20GMT	https://assets.bigcartel.com/theme_images/95501167/2023-02-04_12-54-41_832.jpeg?auto=format&fit=max&w=900	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/assets.bigcartel.com/theme_images/95501167/2023-02-04_12-54-41_832c336.jpg	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:50	25368/25368	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:50%20GMT	https://lapajaritashop.bigcartel.com/product/unisex-t-shirt	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/product/unisex-t-shirt.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:50	23290/23290	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:51%20GMT	https://lapajaritashop.bigcartel.com/product/polar-verde	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/product/polar-verde.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:51	597/597	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Feb%202023%2019:42:06%20GMT	https://assets.bigcartel.com/product_images/354462763/polar+web.jpeg?auto=format&fit=max&w=20	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/assets.bigcartel.com/product_images/354462763/polar+web38d5.jpg	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
13:13:51	23294/23294	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2011:13:51%20GMT	https://lapajaritashop.bigcartel.com/product/polar-azul-marino	C:/Users/pc/Dropbox/PC/Desktop/lapajarita/lapajaritashop.bigcartel.com/product/polar-azul-marino.html	(from https://lapajaritashop.bigcartel.com/?_gl=1*cpo7s5*_gcl_au*MTk2NzgxNDU4Ni4xNzE2ODA3ODE2*_ga*MTYxNzAyNDM5NC4xNjg0MTczNTc0*_ga_QZ4HDFTSEZ*MTcxNjgwNzgyMS4yLjEuMTcxNjgwODExOC43LjAuMTc1Mzk1MDAxMw..)
